Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1998-03-06,LAL,Home,SAS,W,0,21:00,1,6,0.17,0,2,0,5,6,0.83,0,1,1,2,1,2,1,0,7,5.9,Kobe Bryant,Regular Season
1998-03-11,LAL,Home,POR,W,0,20:00,4,10,0.4,1,2,0.5,4,5,0.8,1,1,2,2,0,0,1,2,13,7.8,Kobe Bryant,Regular Season
1998-03-12,LAL,Away,LAC,W,0,12:00,2,9,0.22,1,2,0.5,1,2,0.5,0,3,3,1,0,0,4,1,6,-2.7,Kobe Bryant,Regular Season
1998-03-15,LAL,Away,VAN,W,0,25:00,4,7,0.57,1,1,1,4,7,0.57,1,2,3,5,0,2,1,0,13,13.7,Kobe Bryant,Regular Season
1998-03-18,LAL,Home,PHO,W,0,28:00,1,10,0.1,0,3,0,8,9,0.89,1,2,3,6,0,3,1,1,10,9.2,Kobe Bryant,Regular Season
1998-03-20,LAL,Home,SEA,W,0,18:00,3,7,0.43,2,3,0.67,8,8,1,1,0,1,2,2,0,2,1,16,14,Kobe Bryant,Regular Season
1998-03-22,LAL,Away,SAC,W,0,25:00,2,9,0.22,0,2,0,8,12,0.67,3,3,6,3,0,0,2,5,12,6,Kobe Bryant,Regular Season
1998-03-23,LAL,Away,DEN,W,0,32:00,8,12,0.67,2,4,0.5,5,5,1,0,3,3,3,2,0,2,1,23,20.4,Kobe Bryant,Regular Season
1998-03-25,LAL,Home,SAC,W,0,21:00,3,7,0.43,1,3,0.33,4,5,0.8,1,0,1,3,0,0,5,2,11,3.9,Kobe Bryant,Regular Season
1998-03-28,LAL,Away,UTA,L,0,27:00,0,4,0,0,2,0,2,2,1,0,0,0,3,4,1,2,1,2,3.6,Kobe Bryant,Regular Season
1998-03-29,LAL,Home,WAS,W,0,23:00,5,12,0.42,0,1,0,5,5,1,1,4,5,2,0,1,1,1,15,11.2,Kobe Bryant,Regular Season
1998-03-31,LAL,Away,TOR,W,0,25:00,7,13,0.54,2,4,0.5,1,1,1,1,1,2,5,1,1,3,2,17,13.1,Kobe Bryant,Regular Season
1998-04-02,LAL,Away,NJN,W,0,25:00,7,11,0.64,1,2,0.5,5,9,0.56,1,3,4,2,1,0,2,4,20,13.9,Kobe Bryant,Regular Season
1998-04-05,LAL,Away,DET,W,0,27:00,2,11,0.18,0,4,0,2,2,1,2,1,3,1,2,2,1,4,6,2.3,Kobe Bryant,Regular Season
1998-04-08,LAL,Home,VAN,W,0,26:00,4,10,0.4,1,5,0.2,5,6,0.83,0,1,1,4,0,2,5,3,14,6.5,Kobe Bryant,Regular Season
1998-04-10,LAL,Home,PHO,L,0,29:00,2,11,0.18,2,6,0.33,6,8,0.75,1,1,2,3,1,1,1,1,12,7.7,Kobe Bryant,Regular Season
1998-04-13,LAL,Away,SAS,W,0,26:00,5,10,0.5,0,2,0,5,6,0.83,0,1,1,3,0,2,3,2,15,9.6,Kobe Bryant,Regular Season
1998-04-14,LAL,Away,DAL,W,0,28:00,6,11,0.55,1,1,1,6,7,0.86,1,3,4,1,0,0,2,6,19,11.2,Kobe Bryant,Regular Season
1998-04-17,LAL,Home,DAL,W,0,26:00,5,8,0.62,1,3,0.33,6,7,0.86,1,6,7,4,0,0,3,3,17,14.1,Kobe Bryant,Regular Season
1998-04-19,LAL,Home,UTA,W,0,37:00,10,19,0.53,1,5,0.2,4,6,0.67,1,1,2,3,2,2,2,1,25,19,Kobe Bryant,Regular Season
1999-02-05,LAL,Home,HOU,W,1,44:00,8,21,0.38,2,3,0.67,7,9,0.78,2,8,10,2,2,3,2,4,25,18.4,Kobe Bryant,Regular Season
